Date,China 10yr Benchmark Yield %,China CPI YoY %,China Real 10yr Rate (10yr Benchmark - CPI All Items)
30/11/2022,2.92,1.6,1.32
31/10/2022,2.65,2.1,0.55
30/09/2022,2.78,2.8,-0.02
31/08/2022,2.65,2.5,0.15
31/07/2022,2.76,2.7,0.06
30/06/2022,2.82,2.5,0.32
31/05/2022,2.8,2.1,0.7
30/04/2022,2.84,2.1,0.74
31/03/2022,2.82,1.5,1.32
28/02/2022,2.79,0.9,1.89
31/01/2022,2.75,0.9,1.85
31/12/2021,2.78,1.5,1.28
30/11/2021,2.87,2.3,0.57
31/10/2021,2.98,1.5,1.48
30/09/2021,2.87,0.7,2.17
31/08/2021,2.86,0.8,2.06
31/07/2021,2.85,1,1.85
30/06/2021,3.08,1.1,1.98
31/05/2021,3.08,1.3,1.78
30/04/2021,3.18,0.9,2.28
31/03/2021,3.2,0.4,2.8
28/02/2021,3.29,-0.2,3.49
31/01/2021,3.23,-0.3,3.53
31/12/2020,3.2,0.2,3
30/11/2020,3.28,-0.5,3.78
31/10/2020,3.19,0.5,2.69
30/09/2020,3.16,1.7,1.46
31/08/2020,3.05,2.4,0.65
31/07/2020,2.97,2.7,0.27
30/06/2020,2.9,2.5,0.4
31/05/2020,2.71,2.4,0.31
30/04/2020,2.51,3.3,-0.79
31/03/2020,2.66,4.3,-1.64
29/02/2020,2.8,5.2,-2.4
31/01/2020,3.05,5.4,-2.35
31/12/2019,3.17,4.5,-1.33
30/11/2019,3.19,4.5,-1.31
31/10/2019,3.28,3.8,-0.52
30/09/2019,3.16,3,0.16
31/08/2019,3.07,2.8,0.27
31/07/2019,3.18,2.8,0.38
30/06/2019,3.28,2.7,0.58
31/05/2019,3.3,2.7,0.6
30/04/2019,3.42,2.5,0.92
31/03/2019,3.08,2.3,0.78
28/02/2019,3.21,1.5,1.71
31/01/2019,3.13,1.7,1.43
31/12/2018,3.27,1.9,1.37
30/11/2018,3.4,2.2,1.2
31/10/2018,3.53,2.5,1.03
30/09/2018,3.66,2.5,1.16
31/08/2018,3.6,2.3,1.3
31/07/2018,3.53,2.1,1.43
30/06/2018,3.54,1.9,1.64
31/05/2018,3.65,1.8,1.85
30/04/2018,3.65,1.8,1.85
31/03/2018,3.78,2.1,1.68
28/02/2018,3.86,2.9,0.96
31/01/2018,3.94,1.5,2.44
31/12/2017,3.92,1.8,2.12
30/11/2017,3.92,1.7,2.22
31/10/2017,3.92,1.9,2.02
30/09/2017,3.64,1.6,2.04
31/08/2017,3.68,1.8,1.88
31/07/2017,3.63,1.4,2.23
30/06/2017,3.58,1.5,2.08
31/05/2017,3.67,1.5,2.17
30/04/2017,3.48,1.2,2.28
31/03/2017,3.31,0.9,2.41
28/02/2017,3.36,0.8,2.56
31/01/2017,3.36,2.5,0.86
31/12/2016,3.07,2.1,0.97
30/11/2016,2.94,2.3,0.64
31/10/2016,2.74,2.1,0.64
30/09/2016,2.77,1.9,0.87
31/08/2016,2.81,1.3,1.51
31/07/2016,2.81,1.8,1.01
30/06/2016,2.88,1.9,0.98
31/05/2016,3,2,1
30/04/2016,2.95,2.3,0.65
31/03/2016,2.89,2.3,0.59
29/02/2016,2.91,2.3,0.61
31/01/2016,2.91,1.8,1.11
31/12/2015,2.86,1.6,1.26
30/11/2015,3.09,1.5,1.59
31/10/2015,3.09,1.3,1.79
30/09/2015,3.28,1.6,1.68
31/08/2015,3.39,2,1.39
31/07/2015,3.47,1.6,1.87
30/06/2015,3.63,1.4,2.23
31/05/2015,3.59,1.2,2.39
30/04/2015,3.42,1.5,1.92
31/03/2015,3.62,1.4,2.22
28/02/2015,3.38,1.4,1.98
31/01/2015,3.51,0.8,2.71
31/12/2014,3.65,1.5,2.15
30/11/2014,3.55,1.4,2.15
31/10/2014,3.79,1.6,2.19
30/09/2014,4.03,1.6,2.43
31/08/2014,4.25,2,2.25
31/07/2014,4.3,2.3,2
30/06/2014,4.06,2.3,1.76
31/05/2014,4.16,2.5,1.66
30/04/2014,4.33,1.8,2.53
31/03/2014,4.48,2.4,2.08
28/02/2014,4.42,2,2.42
31/01/2014,4.55,2.5,2.05
31/12/2013,4.63,2.5,2.13
30/11/2013,4.4,3,1.4
31/10/2013,4.22,3.2,1.02
30/09/2013,4.05,3.1,0.95
31/08/2013,4.05,2.6,1.45
31/07/2013,3.6,2.7,0.9
30/06/2013,3.6,2.7,0.9
31/05/2013,3.45,2.1,1.35
30/04/2013,3.5,2.4,1.1
31/03/2013,3.44,2.1,1.34
28/02/2013,3.6,3.2,0.4
31/01/2013,3.6,2,1.6
31/12/2012,3.58,2.5,1.08
30/11/2012,3.57,2,1.57
31/10/2012,3.57,1.7,1.87
30/09/2012,3.47,1.9,1.57
31/08/2012,3.45,2,1.45
31/07/2012,3.33,1.8,1.53
30/06/2012,3.37,2.2,1.17
31/05/2012,3.5,3,0.5
30/04/2012,3.55,3.4,0.15
31/03/2012,3.55,3.6,-0.05
29/02/2012,3.55,3.2,0.35
31/01/2012,3.4,4.5,-1.1
31/12/2011,3.55,4.1,-0.55
30/11/2011,3.62,4.2,-0.58
31/10/2011,3.81,5.5,-1.69
30/09/2011,3.87,6.1,-2.23
31/08/2011,4,6.2,-2.2
31/07/2011,4.12,6.5,-2.38
30/06/2011,3.88,6.4,-2.52
31/05/2011,3.84,5.5,-1.66
30/04/2011,3.88,5.3,-1.42
31/03/2011,3.95,5.4,-1.45
28/02/2011,4.05,4.9,-0.85
31/01/2011,3.89,4.9,-1.01
31/12/2010,3.9,4.6,-0.7
30/11/2010,3.9,5.1,-1.2
31/10/2010,3.67,4.4,-0.73
30/09/2010,3.32,3.6,-0.28
31/08/2010,3.22,3.5,-0.28
31/07/2010,3.31,3.3,0.01
30/06/2010,3.33,2.9,0.43
31/05/2010,3.31,3.1,0.21
30/04/2010,3.34,2.8,0.54
31/03/2010,3.58,2.4,1.18
28/02/2010,3.55,2.7,0.85
31/01/2010,3.6,1.5,2.1
31/12/2009,3.6,1.9,1.7
30/11/2009,3.56,0.6,2.96
31/10/2009,3.7,-0.5,4.2
30/09/2009,3.54,-0.8,4.34
31/08/2009,3.55,-1.2,4.75
31/07/2009,3.55,-1.8,5.35
30/06/2009,3.28,-1.7,4.98
31/05/2009,3.06,-1.4,4.46
30/04/2009,3.18,-1.5,4.68
31/03/2009,3.16,-1.2,4.36
28/02/2009,3.1,-1.6,4.7
31/01/2009,3.1,1,2.1
31/12/2008,2.75,1.2,1.55
30/11/2008,3.3,2.4,0.9
31/10/2008,3.07,4,-0.93
30/09/2008,3.7,4.6,-0.9
31/08/2008,4.26,4.9,-0.64
31/07/2008,4.59,6.3,-1.71
30/06/2008,4.45,7.1,-2.65
31/05/2008,4.18,7.7,-3.52
30/04/2008,4.08,8.5,-4.42
31/03/2008,4.15,8.3,-4.15
29/02/2008,4.08,8.7,-4.62
31/01/2008,4.28,7.1,-2.82
31/12/2007,4.47,6.5,-2.03
30/11/2007,4.6,6.9,-2.3
31/10/2007,4.6,6.5,-1.9
30/09/2007,4.33,6.2,-1.87
31/08/2007,4.4,6.5,-2.1
31/07/2007,4.36,5.6,-1.24
30/06/2007,4.29,4.4,-0.12
31/05/2007,4.3,3.4,0.9
30/04/2007,3.64,3,0.64
31/03/2007,3.4,3.3,0.1
28/02/2007,3.13,2.7,0.43
31/01/2007,3.08,2.2,0.88
31/12/2006,3.08,2.8,0.28
30/11/2006,3.02,1.9,1.12
31/10/2006,2.97,1.4,1.57
30/09/2006,3.3,1.5,1.8
31/08/2006,3.32,1.3,2.02
31/07/2006,3.39,1,2.39
30/06/2006,3.13,1.5,1.63
31/05/2006,3.05,1.4,1.65
30/04/2006,3.05,1.2,1.85
31/03/2006,2.95,0.8,2.15
28/02/2006,2.97,0.9,2.07
31/01/2006,3.13,1.9,1.23
31/12/2005,3.3,1.6,1.7
30/11/2005,3.29,1.3,1.99
31/10/2005,3.17,1.2,1.97
30/09/2005,3.32,0.9,2.42
31/08/2005,3.52,1.3,2.22
31/07/2005,3.55,1.8,1.75
30/06/2005,3.87,1.6,2.27
31/05/2005,4.13,1.8,2.33
30/04/2005,4.36,1.8,2.56
31/03/2005,4.41,2.7,1.71
28/02/2005,4.67,4,0.67
31/01/2005,4.65,1.9,2.75
31/12/2004,4.53,2.4,2.13
30/11/2004,4.75,2.9,1.85
31/10/2004,4.79,4.3,0.49
30/09/2004,4.79,5.2,-0.41
31/08/2004,4.95,5.3,-0.35
31/07/2004,4.64,5.3,-0.66
30/06/2004,4.55,5,-0.45
31/05/2004,4.11,4.4,-0.29
30/04/2004,4.09,3.8,0.29
31/03/2004,3.98,3,0.98
29/02/2004,3.95,2.1,1.85
31/01/2004,3.76,3.2,0.56
31/12/2003,3.75,3.2,0.55
30/11/2003,3.43,3,0.43
31/10/2003,3.63,1.8,1.83
30/09/2003,3.55,1.1,2.45
31/08/2003,2.94,0.9,2.04
31/07/2003,2.9,0.5,2.4
30/06/2003,2.98,0.3,2.68
31/05/2003,2.8,0.7,2.1
30/04/2003,3.12,1,2.12
31/03/2003,2.96,0.9,2.06
28/02/2003,3.01,0.2,2.81
31/01/2003,3.06,0.4,2.66
31/12/2002,3.1,-0.4,3.5
30/11/2002,3.32,-0.7,4.02
31/10/2002,3.07,-0.8,3.87
30/09/2002,3.08,-0.7,3.78
31/08/2002,2.85,-0.7,3.55
31/07/2002,2.87,-0.9,3.77
30/06/2002,2.41,-0.8,3.21
31/05/2002,2.38,-1.1,3.48
30/04/2002,2.44,-1.3,3.74
31/03/2002,3.47,-0.8,4.27
28/02/2002,3.47,0,3.47
31/01/2002,3.47,-1,4.47
31/12/2001,3.73,-0.3,4.03
30/11/2001,3.76,-0.3,4.06
31/03/2001,3.05,0.8,2.25
28/02/2001,3.05,0,3.05
31/01/2001,3,1.2,1.8
31/12/2000,3.01,1.5,1.51
30/11/2000,2.97,1.3,1.67
31/10/2000,2.75,0,2.75
30/09/2000,2.79,0,2.79
