Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Quick-Ratio,Quick-Ratio FQ-1,Quick-Ratio FQ-2,Quick-Ratio FQ-3,Quick-Ratio FQ-4,Quick-Ratio FQ-5,Quick-Ratio FQ-6,Quick-Ratio FQ-7,Quick-Ratio FQ-8,Quick-Ratio FQ-9,Quick-Ratio FQ-10,Quick-Ratio FQ-11,Quick-Ratio FQ-12
2112,Grace Life-tech Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,110.8 M,2022,0.8x,0.8x,0.8x,0.8x,0.9x,0.9x,1.0x,1.0x,1.0x,1.0x,1.2x,1.2x,1.3x
3315,Goldpac Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,169.1 M,2022,1.9x,1.9x,1.8x,1.8x,2.6x,2.6x,2.7x,2.7x,3.0x,3.0x,3.2x,3.2x,2.8x
1290,China Huirong Financial Holdings Limited,Financials,Consumer Finance,Diversified Financials,145.8 M,2022,3.9x,3.9x,3.5x,3.5x,3.3x,3.3x,4.2x,4.2x,4.2x,4.2x,2.6x,2.6x,2.3x
799,IGG Inc,Communication Services,Entertainment,Media,415.5 M,2022,2.1x,2.1x,1.9x,1.9x,2.4x,2.4x,2.3x,2.3x,2.9x,2.9x,3.3x,3.3x,2.3x
798,China Electronics Optics Valley Union Holding Company Limited,Real Estate,Real Estate Management & Development,Real Estate,330.9 M,2022,-,NA,0.6x,0.6x,0.5x,0.5x,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.5x
6138,"Harbin Bank Co., Ltd.",Financials,Banks,Banks,378.2 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,NA,0.1x,NA,0.2x,0.2x,0.1x,0.1x,0.2x
1488,Best Food Holding Company Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,175 M,2022,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.9x
6828,Beijing Gas Blue Sky Holdings Limited,Utilities,Gas Utilities,Utilities,295.4 M,2022,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.5x
1856,Ernest Borel Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,106.2 M,2022,0.2x,0.2x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x
1321,China New City Commercial Development Limited,Real Estate,Real Estate Management & Development,Real Estate,256.2 M,2022,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.1x,0.1x,0.1x
1626,Jia Yao Holdings Limited,Materials,Containers & Packaging,Materials,305.7 M,2022,0.3x,0.3x,0.3x,0.3x,0.4x,0.4x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.5x
6836,Tianyun International Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",187.6 M,2022,2.6x,2.6x,2.4x,2.4x,2.0x,2.0x,2.0x,2.0x,1.9x,1.9x,2.3x,2.3x,1.9x
716,Singamas Container Holdings Limited,Industrials,Machinery,Capital Goods,191.2 M,2022,3.3x,3.3x,2.2x,2.2x,2.1x,2.1x,1.2x,1.2x,1.0x,1.0x,1.2x,1.2x,1.6x
184,Keck Seng Investments (Hong Kong) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,125.7 M,2022,0.8x,0.8x,1.7x,1.7x,1.7x,1.7x,1.8x,1.8x,1.2x,1.2x,0.8x,0.8x,0.9x
655,Hongkong Chinese Limited,Real Estate,Real Estate Management & Development,Real Estate,129.8 M,2022,2.4x,2.4x,2.2x,2.2x,4.3x,4.3x,1.8x,1.8x,3.1x,3.1x,1.6x,1.6x,0.7x
419,Huayi Tencent Entertainment Company Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,242.3 M,2022,0.7x,0.7x,0.9x,0.9x,1.6x,1.6x,1.1x,1.1x,0.8x,0.8x,0.5x,0.5x,1.1x
78,Regal Hotels International Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,360.7 M,2022,1.4x,1.4x,1.6x,1.6x,0.5x,0.5x,0.4x,0.4x,2.0x,2.0x,1.9x,1.9x,2.5x
232,Continental Aerospace Technologies Holding Limited,Industrials,Aerospace & Defense,Capital Goods,115 M,2022,2.2x,2.2x,1.9x,1.9x,2.0x,2.0x,1.7x,1.7x,1.9x,1.9x,2.1x,2.1x,2.1x
1548,Genscript Biotech Corporation,Healthcare,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",4.982 B,2022,2.6x,2.6x,3.3x,3.3x,3.1x,3.1x,2.8x,2.8x,3.6x,3.6x,2.2x,2.2x,3.4x
71,"Miramar Hotel and Investment Company, Limited",Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,1.037 B,2022,8.8x,8.8x,7.7x,7.7x,10.2x,10.2x,7.5x,7.5x,10.0x,10.0x,6.2x,6.2x,6.0x
2302,CNNC International Limited,Industrials,Trading Companies & Distributors,Capital Goods,115.9 M,2022,0.8x,0.8x,3.0x,3.0x,0.4x,0.4x,0.6x,0.6x,0.9x,0.9x,0.4x,0.4x,0.6x
610,Wai Kee Holdings Limited,Industrials,Construction & Engineering,Capital Goods,171.8 M,2022,1.3x,1.3x,1.2x,1.2x,1.2x,1.2x,1.2x,1.2x,1.1x,1.1x,1.1x,1.1x,1.1x
1578,"Bank of Tianjin Co., Ltd.",Financials,Banks,Banks,1.415 B,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
85,China Electronics Huada Technology Company Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,395.6 M,2022,1.0x,1.0x,1.2x,1.2x,1.3x,1.3x,1.3x,1.3x,0.5x,0.5x,0.5x,0.5x,0.5x
1045,APT Satellite Holdings Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,294.5 M,2022,-,NA,6.6x,6.6x,6.6x,6.6x,6.2x,6.2x,5.1x,5.1x,4.4x,4.4x,4.4x
62,Transport International Holdings Limited,Industrials,Road & Rail,Transportation,640.1 M,2022,-,NA,0.9x,0.9x,0.7x,0.7x,0.6x,0.6x,0.8x,0.8x,1.1x,1.1x,1.4x
1393,Hidili Industry International Development Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.9 M,2022,0.1x,0.1x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x
3838,China Starch Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",163.4 M,2022,1.6x,1.6x,1.2x,1.2x,1.5x,1.5x,0.6x,0.6x,0.9x,0.9x,0.8x,0.8x,1.0x
295,Kong Sun Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,143 M,2022,1.0x,1.0x,0.9x,0.9x,1.0x,1.0x,0.4x,0.4x,1.4x,1.4x,0.7x,0.7x,1.0x
607,Fullshare Holdings Limited,Industrials,Electrical Equipment,Capital Goods,378.3 M,2022,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.6x,0.6x,0.6x
776,Imperium Technology Group Limited,Consumer Discretionary,Household Durables,Consumer Durables & Apparel,177.9 M,2022,0.4x,0.4x,0.3x,0.3x,0.8x,0.8x,0.4x,0.4x,0.6x,0.6x,0.8x,0.8x,0.8x
887,Emperor Watch & Jewellery Limited,Consumer Discretionary,Specialty Retail,Retailing,150.3 M,2022,-,NA,1.5x,1.5x,1.1x,1.1x,0.8x,0.8x,0.5x,0.5x,0.3x,0.3x,0.4x
993,Huarong International Financial Holdings Limited,Financials,Capital Markets,Diversified Financials,105.4 M,2022,1.7x,1.7x,1.4x,1.4x,1.1x,1.1x,0.9x,0.9x,0.8x,0.8x,1.2x,1.2x,0.9x
2878,Solomon Systech (International) Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,158.9 M,2022,-,NA,1.2x,1.2x,0.9x,0.9x,2.1x,2.1x,2.2x,2.2x,2.0x,2.0x,1.6x
1176,Zhuguang Holdings Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,708.8 M,2022,0.8x,0.8x,0.9x,0.9x,0.5x,0.5x,0.6x,0.6x,0.2x,0.2x,0.7x,0.7x,0.7x
240,Build King Holdings Limited,Industrials,Construction & Engineering,Capital Goods,159.8 M,2022,1.2x,1.2x,1.1x,1.1x,1.0x,1.0x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.0x
815,China Silver Group Limited,Materials,Metals & Mining,Materials,103.3 M,2022,0.8x,0.8x,0.6x,0.6x,0.1x,0.1x,1.5x,1.5x,1.7x,1.7x,2.0x,2.0x,1.5x
1184,S.A.S. Dragon Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,274.3 M,2022,0.8x,0.8x,0.8x,0.8x,0.9x,0.9x,0.8x,0.8x,0.7x,0.7x,0.9x,0.9x,0.9x
554,Hans Energy Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,128.5 M,2022,1.4x,1.4x,1.1x,1.1x,1.4x,1.4x,2.0x,2.0x,1.1x,1.1x,1.5x,1.5x,3.6x
560,Chu Kong Shipping Enterprises (Group) Company Limited,Industrials,Marine,Transportation,138.5 M,2022,1.8x,1.8x,1.5x,1.5x,1.6x,1.6x,1.6x,1.6x,1.8x,1.8x,1.7x,1.7x,2.3x
1543,"Guangdong Join-Share Financing Guarantee Investment Co., Ltd.",Financials,Consumer Finance,Diversified Financials,355.9 M,2022,5.8x,5.8x,6.3x,6.3x,6.6x,6.6x,6.2x,6.2x,5.2x,5.2x,6.2x,6.2x,4.7x
1561,Pan Asia Data Holdings Inc.,Materials,Chemicals,Materials,125.2 M,2022,0.8x,0.8x,0.8x,0.8x,0.4x,0.4x,0.4x,0.4x,0.9x,0.9x,0.7x,0.7x,3.5x
1180,Paradise Entertainment Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,119.3 M,2022,0.5x,0.5x,0.9x,0.9x,1.1x,1.1x,1.4x,1.4x,1.6x,1.6x,2.0x,2.0x,2.2x
1823,Huayu Expressway Group Limited,Industrials,Construction & Engineering,Capital Goods,100.4 M,2022,1.2x,1.2x,1.2x,1.2x,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,1.1x,1.1x,1.1x
626,Public Financial Holdings Limited,Financials,Banks,Banks,309.1 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
3737,Zhongzhi Pharmaceutical Holdings Limited,Healthcare,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",113.3 M,2022,1.0x,1.0x,1.4x,1.4x,1.1x,1.1x,1.2x,1.2x,1.2x,1.2x,1.4x,1.4x,1.5x
563,Shanghai Industrial Urban Development Group Limited,Real Estate,Real Estate Management & Development,Real Estate,317.4 M,2022,0.2x,0.2x,0.3x,0.3x,0.4x,0.4x,0.3x,0.3x,0.4x,0.4x,0.4x,0.4x,0.4x
533,Goldlion Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,157.1 M,2022,2.3x,2.3x,2.2x,2.2x,2.2x,2.2x,2.7x,2.7x,3.6x,3.6x,3.5x,3.5x,2.8x
340,Tongguan Gold Group Limited,Materials,Metals & Mining,Materials,172.9 M,2022,0.3x,0.3x,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
612,China Investment Fund Company Limited,Financials,Capital Markets,Diversified Financials,407.1 M,2022,1.7x,1.7x,1.6x,1.6x,9.7x,9.7x,8.3x,8.3x,2.4x,2.4x,2.0x,2.0x,2.7x
2008,Phoenix Media Investment (Holdings) Limited,Communication Services,Media,Media,194 M,2022,1.8x,1.8x,1.7x,1.7x,1.8x,1.8x,2.0x,2.0x,1.9x,1.9x,1.9x,1.9x,2.2x
201,Magnificent Hotel Investments Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,129.9 M,2022,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.4x,0.4x,0.5x,0.5x,0.7x,0.7x,0.4x
990,Theme International Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,1.459 B,2022,1.3x,1.3x,1.3x,1.3x,1.0x,1.0x,1.4x,1.4x,1.1x,1.1x,0.7x,0.7x,0.8x
393,Glorious Sun Enterprises Limited,Consumer Discretionary,Specialty Retail,Retailing,151.8 M,2022,3.6x,3.6x,3.6x,3.6x,3.7x,3.7x,4.0x,4.0x,3.8x,3.8x,3.8x,3.8x,2.5x
97,Henderson Investment Limited,Consumer Discretionary,Multiline Retail,Retailing,108.7 M,2022,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.7x,0.7x,0.7x,0.7x,0.6x,0.6x,0.6x
127,Chinese Estates Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,602.7 M,2022,0.9x,0.9x,0.7x,0.7x,0.8x,0.8x,0.4x,0.4x,0.6x,0.6x,0.4x,0.4x,0.8x
809,Global Bio-chem Technology Group Company Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",147.5 M,2022,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.1x
592,Bossini International Holdings Limited,Consumer Discretionary,Specialty Retail,Retailing,179.4 M,2022,1.1x,1.1x,1.5x,1.5x,0.7x,0.7x,0.8x,0.8x,0.8x,0.8x,2.1x,2.1x,2.1x
2066,"Shengjing Bank Co., Ltd.",Financials,Banks,Banks,6.724 B,2022,0.2x,0.2x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.3x
3639,Yida China Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,113.6 M,2022,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.1x,0.1x,0.1x
2383,TOM Group Limited,Communication Services,Media,Media,327.5 M,2022,1.2x,1.2x,1.2x,1.2x,1.1x,1.1x,1.0x,1.0x,1.0x,1.0x,1.9x,1.9x,0.9x
3678,"Holly Futures Co., Ltd.",Financials,Capital Markets,Diversified Financials,1.619 B,2022,0.8x,1.1x,NA,1.1x,1.1x,1.3x,NA,1.3x,1.3x,1.3x,1.3x,1.6x,1.6x
1208,MMG Limited,Materials,Metals & Mining,Materials,2.432 B,2022,0.3x,0.3x,0.4x,0.4x,0.8x,0.8x,1.0x,1.0x,0.4x,0.4x,0.2x,0.2x,0.3x
1205,CITIC Resources Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,430.4 M,2022,1.7x,1.7x,1.8x,1.8x,1.3x,1.3x,2.3x,2.3x,1.7x,1.7x,0.9x,0.9x,0.9x
158,Melbourne Enterprises Limited,Real Estate,Real Estate Management & Development,Real Estate,388.9 M,2022,5.1x,5.1x,6.0x,6.0x,4.6x,4.6x,5.4x,5.4x,4.2x,4.2x,4.7x,4.7x,3.9x
39,China Beidahuang Industry Group Holdings Limited,Consumer Discretionary,Distributors,Retailing,158 M,2022,0.5x,0.5x,0.5x,0.5x,0.8x,0.8x,0.7x,0.7x,0.9x,0.9x,0.8x,0.8x,0.9x
34,Kowloon Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,1.238 B,2022,0.1x,0.1x,0.1x,0.1x,0.4x,0.4x,0.2x,0.2x,0.5x,0.5x,0.7x,0.7x,0.2x
1168,Sinolink Worldwide Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,134 M,2022,0.4x,0.4x,0.6x,0.6x,0.7x,0.7x,0.7x,0.7x,0.8x,0.8x,1.1x,1.1x,1.4x
108,GR Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,387.2 M,2022,0.6x,0.6x,0.3x,0.3x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.3x,0.3x,0.4x
1476,"Hengtai Securities Co., Ltd",Financials,Capital Markets,Diversified Financials,929 M,2022,1.0x,1.0x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.0x,1.3x,1.3x,1.3x
662,Asia Financial Holdings Limited,Financials,Insurance,Insurance,386.3 M,2022,17.9x,17.9x,2.0x,2.0x,17.7x,17.7x,2.0x,2.0x,19.2x,19.2x,2.3x,2.3x,7.0x
50,Hong Kong Ferry (Holdings) Company Limited,Real Estate,Real Estate Management & Development,Real Estate,331.3 M,2022,8.8x,8.8x,7.2x,7.2x,9.9x,9.9x,6.8x,6.8x,5.4x,5.4x,7.7x,7.7x,6.8x
222,Min Xin Holdings Limited,Financials,Insurance,Insurance,229 M,2022,2.0x,2.0x,2.0x,2.0x,2.0x,2.0x,2.1x,2.1x,2.5x,2.5x,3.8x,3.8x,3.6x
1689,Huaxi Holdings Company Limited,Materials,Containers & Packaging,Materials,120.6 M,2022,2.2x,2.2x,2.1x,2.1x,2.3x,2.3x,2.6x,2.6x,2.5x,2.5x,3.1x,3.1x,2.7x
1290,China Huirong Financial Holdings Limited,Financials,Consumer Finance,Diversified Financials,145.8 M,2022,3.9x,3.9x,3.5x,3.5x,3.3x,3.3x,4.2x,4.2x,4.2x,4.2x,2.6x,2.6x,2.3x
799,IGG Inc,Communication Services,Entertainment,Media,415.5 M,2022,2.1x,2.1x,1.9x,1.9x,2.4x,2.4x,2.3x,2.3x,2.9x,2.9x,3.3x,3.3x,2.3x
1115,Tibet Water Resources Ltd.,Consumer Staples,Beverages,"Food, Beverage & Tobacco",214.7 M,2022,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.4x,0.4x,0.5x,0.5x,0.7x,0.7x,0.7x
1856,Ernest Borel Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,106.2 M,2022,0.2x,0.2x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x
1370,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.1x,0.1x,0.6x,0.6x,0.6x,0.6x,0.8x
1321,China New City Commercial Development Limited,Real Estate,Real Estate Management & Development,Real Estate,256.2 M,2022,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.1x,0.1x,0.1x
1680,Macau Legend Development Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,240.9 M,2022,0.1x,0.1x,0.3x,0.3x,0.1x,0.1x,0.3x,0.3x,0.6x,0.6x,1.0x,1.0x,1.0x
2588,BOC Aviation Limited,Industrials,Trading Companies & Distributors,Capital Goods,5.305 B,2022,0.3x,0.3x,0.2x,0.2x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.1x
8328,Xinyi Electric Storage Holdings Limited,Industrials,Electrical Equipment,Capital Goods,391.1 M,2022,0.8x,NA,0.6x,NA,1.3x,NA,1.0x,NA,2.3x,NA,3.2x,NA,3.1x
2232,Crystal International Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.047 B,2022,0.9x,0.9x,1.1x,1.1x,1.1x,1.1x,1.0x,1.0x,1.1x,1.1x,0.9x,0.9x,0.8x
1216,"Zhongyuan Bank Co., Ltd.",Financials,Banks,Banks,2.933 B,2022,0.2x,0.2x,0.2x,0.2x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x
2136,Lifestyle China Group Limited,Consumer Discretionary,Multiline Retail,Retailing,223.9 M,2022,0.8x,0.8x,0.9x,0.9x,1.1x,1.1x,1.6x,1.6x,1.5x,1.5x,1.7x,1.7x,1.7x
1272,"Datang Environment Industry Group Co., Ltd.",Industrials,Commercial Services & Supplies,Commercial & Professional Services,359.1 M,2022,1.0x,NA,1.0x,1.1x,1.0x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.0x,1.1x
6088,FIT Hon Teng Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,1.715 B,2022,1.1x,1.1x,1.0x,1.0x,1.0x,1.0x,0.8x,0.8x,1.0x,1.0x,1.1x,1.1x,1.2x
6885,Henan Jinma Energy Company Limited,Materials,Metals & Mining,Materials,196.4 M,2022,0.6x,0.6x,0.6x,0.6x,0.5x,0.5x,0.8x,0.8x,1.2x,1.2x,1.3x,1.3x,1.7x
2448,Space Group Holdings Limited,Industrials,Construction & Engineering,Capital Goods,349.1 M,2022,1.2x,1.2x,0.9x,0.9x,0.8x,0.8x,1.1x,1.1x,0.9x,0.9x,1.6x,1.6x,1.4x
1741,Ri Ying Holdings Limited,Industrials,Construction & Engineering,Capital Goods,136.6 M,2022,0.8x,0.8x,1.1x,1.1x,1.3x,1.3x,2.6x,2.6x,4.6x,4.6x,4.6x,4.6x,2.8x
2798,Perennial Energy Holdings Limited,Materials,Metals & Mining,Materials,236.4 M,2022,0.8x,0.8x,0.8x,0.8x,0.8x,0.8x,0.6x,0.6x,0.8x,0.8x,0.6x,0.6x,1.2x
1860,Mobvista Inc.,Communication Services,Media,Media,804.4 M,2022,0.9x,0.9x,0.9x,0.9x,1.3x,1.3x,1.3x,1.3x,1.5x,1.5x,1.8x,1.8x,1.4x
1713,"Sichuan Energy Investment Development Co., Ltd.",Utilities,Electric Utilities,Utilities,238.1 M,2022,0.8x,0.8x,0.7x,0.7x,0.7x,0.7x,0.7x,0.7x,0.7x,0.7x,0.8x,0.8x,0.9x
573,Tao Heung Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,111.1 M,2022,0.6x,0.6x,0.9x,0.9x,0.7x,0.7x,0.9x,0.9x,0.7x,0.7x,1.0x,1.0x,0.8x
1003,Huanxi Media Group Limited,Communication Services,Entertainment,Media,517 M,2022,0.3x,0.3x,0.5x,0.5x,1.2x,1.2x,1.1x,1.1x,0.7x,0.7x,0.6x,0.6x,1.3x
3738,Vobile Group Limited,Information Technology,Software,Software & Services,1.11 B,2022,2.4x,2.4x,4.1x,4.1x,8.1x,8.1x,3.4x,3.4x,0.8x,0.8x,1.4x,1.4x,3.0x
