Ticker,Name,Sector,Industry,Industry Group,Market Cap,Last Reported Fiscal Year,Quick-Ratio,Quick-Ratio FQ-1,Quick-Ratio FQ-2,Quick-Ratio FQ-3,Quick-Ratio FQ-4,Quick-Ratio FQ-5,Quick-Ratio FQ-6,Quick-Ratio FQ-7,Quick-Ratio FQ-8,Quick-Ratio FQ-9,Quick-Ratio FQ-10,Quick-Ratio FQ-11,Quick-Ratio FQ-12
1866,China XLX Fertiliser Ltd.,Materials,Chemicals,Materials,735.2 M,2022,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.2x,0.2x,0.3x
1299,AIA Group Limited,Financials,Insurance,Insurance,120.7 B,2022,1.2x,1.2x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x
1090,Da Ming International Holdings Limited,Materials,Metals & Mining,Materials,261.4 M,2022,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x,0.1x
3788,China Hanking Holdings Limited,Materials,Metals & Mining,Materials,192.3 M,2022,-,NA,0.3x,0.3x,0.4x,0.4x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.1x
3688,Top Spring International Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,196.8 M,2022,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.3x
6830,Huazhong In-Vehicle Holdings Company Limited,Consumer Discretionary,Auto Components,Automobiles & Components,558.9 M,2022,0.6x,0.6x,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.4x,0.4x,0.5x,0.5x,0.5x
3939,Wanguo International Mining Group Limited,Materials,Metals & Mining,Materials,208.9 M,2022,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.1x,0.1x,0.1x,0.1x,0.0x
273,Mason Group Holdings Limited,Financials,Capital Markets,Diversified Financials,163.9 M,2022,7.8x,7.8x,7.1x,7.1x,5.0x,5.0x,1.5x,1.5x,0.9x,0.9x,1.1x,1.1x,0.9x
1258,China Nonferrous Mining Corporation Limited,Materials,Metals & Mining,Materials,1.777 B,2022,1.4x,1.4x,1.2x,1.2x,1.4x,1.4x,0.6x,0.6x,0.8x,0.8x,0.8x,0.8x,0.9x
329,OCI International Holdings Limited,Financials,Capital Markets,Diversified Financials,137.6 M,2022,3.3x,3.3x,3.0x,3.0x,2.0x,2.0x,1.4x,1.4x,1.4x,1.4x,1.1x,1.1x,0.6x
2236,Wison Engineering Services Co. Ltd.,Energy,Energy Equipment & Services,Energy,212.8 M,2022,0.7x,0.7x,0.8x,0.8x,0.7x,0.7x,0.7x,0.7x,0.8x,0.8x,0.9x,0.9x,0.7x
8032,Viva China Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.665 B,2022,0.9x,NA,3.5x,NA,3.6x,NA,2.3x,NA,3.3x,NA,7.7x,NA,2.6x
1488,Best Food Holding Company Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,175 M,2022,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.9x
6828,Beijing Gas Blue Sky Holdings Limited,Utilities,Gas Utilities,Utilities,295.4 M,2022,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.5x
1910,Samsonite International S.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,4.403 B,2022,0.8x,1.0x,1.4x,1.4x,1.7x,1.7x,1.6x,2.2x,2.2x,2.4x,2.2x,1.6x,0.8x
39,China Beidahuang Industry Group Holdings Limited,Consumer Discretionary,Distributors,Retailing,158 M,2022,0.5x,0.5x,0.5x,0.5x,0.8x,0.8x,0.7x,0.7x,0.9x,0.9x,0.8x,0.8x,0.9x
34,Kowloon Development Company Limited,Real Estate,Real Estate Management & Development,Real Estate,1.238 B,2022,0.1x,0.1x,0.1x,0.1x,0.4x,0.4x,0.2x,0.2x,0.5x,0.5x,0.7x,0.7x,0.2x
158,Melbourne Enterprises Limited,Real Estate,Real Estate Management & Development,Real Estate,388.9 M,2022,5.1x,5.1x,6.0x,6.0x,4.6x,4.6x,5.4x,5.4x,4.2x,4.2x,4.7x,4.7x,3.9x
108,GR Properties Limited,Real Estate,Real Estate Management & Development,Real Estate,387.2 M,2022,0.6x,0.6x,0.3x,0.3x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.3x,0.3x,0.4x
716,Singamas Container Holdings Limited,Industrials,Machinery,Capital Goods,191.2 M,2022,3.3x,3.3x,2.2x,2.2x,2.1x,2.1x,1.2x,1.2x,1.0x,1.0x,1.2x,1.2x,1.6x
50,Hong Kong Ferry (Holdings) Company Limited,Real Estate,Real Estate Management & Development,Real Estate,331.3 M,2022,8.8x,8.8x,7.2x,7.2x,9.9x,9.9x,6.8x,6.8x,5.4x,5.4x,7.7x,7.7x,6.8x
3833,"Xinjiang Xinxin Mining Industry Co., Ltd.",Materials,Metals & Mining,Materials,363.2 M,2022,0.7x,0.7x,0.4x,0.4x,0.4x,0.4x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x,0.2x
607,Fullshare Holdings Limited,Industrials,Electrical Equipment,Capital Goods,378.3 M,2022,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.6x,0.6x,0.6x
993,Huarong International Financial Holdings Limited,Financials,Capital Markets,Diversified Financials,105.4 M,2022,1.7x,1.7x,1.4x,1.4x,1.1x,1.1x,0.9x,0.9x,0.8x,0.8x,1.2x,1.2x,0.9x
1141,CMBC Capital Holdings Limited,Financials,Capital Markets,Diversified Financials,183.2 M,2022,0.2x,0.2x,0.3x,0.3x,0.4x,0.4x,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.3x
686,"Beijing Energy International Holding Co., Ltd.",Utilities,Independent Power & Renewable Electricity Producers,Utilities,527.9 M,2022,0.9x,0.9x,1.1x,1.1x,1.1x,1.1x,0.8x,0.8x,0.8x,0.8x,0.4x,0.4x,0.6x
2878,Solomon Systech (International) Limited,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,158.9 M,2022,-,NA,1.2x,1.2x,0.9x,0.9x,2.1x,2.1x,2.2x,2.2x,2.0x,2.0x,1.6x
3636,Poly Culture Group Corporation Limited,Communication Services,Entertainment,Media,121.4 M,2022,0.3x,0.5x,0.3x,0.5x,0.3x,0.6x,0.2x,0.5x,0.2x,0.6x,0.2x,0.5x,0.3x
815,China Silver Group Limited,Materials,Metals & Mining,Materials,103.3 M,2022,0.8x,0.8x,0.6x,0.6x,0.1x,0.1x,1.5x,1.5x,1.7x,1.7x,2.0x,2.0x,1.5x
3903,"Hanhua Financial Holding Co., Ltd.",Financials,Diversified Financial Services,Diversified Financials,190.5 M,2022,26.8x,26.8x,2.2x,2.2x,18.3x,18.3x,2.3x,2.3x,17.9x,17.9x,2.0x,2.0x,4.0x
240,Build King Holdings Limited,Industrials,Construction & Engineering,Capital Goods,159.8 M,2022,1.2x,1.2x,1.1x,1.1x,1.0x,1.0x,1.1x,1.1x,1.1x,1.1x,1.1x,1.1x,1.0x
1176,Zhuguang Holdings Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,708.8 M,2022,0.8x,0.8x,0.9x,0.9x,0.5x,0.5x,0.6x,0.6x,0.2x,0.2x,0.7x,0.7x,0.7x
1184,S.A.S. Dragon Holdings Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,274.3 M,2022,0.8x,0.8x,0.8x,0.8x,0.9x,0.9x,0.8x,0.8x,0.7x,0.7x,0.9x,0.9x,0.9x
554,Hans Energy Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,128.5 M,2022,1.4x,1.4x,1.1x,1.1x,1.4x,1.4x,2.0x,2.0x,1.1x,1.1x,1.5x,1.5x,3.6x
1258,China Nonferrous Mining Corporation Limited,Materials,Metals & Mining,Materials,1.777 B,2022,1.4x,1.4x,1.2x,1.2x,1.4x,1.4x,0.6x,0.6x,0.8x,0.8x,0.8x,0.8x,0.9x
329,OCI International Holdings Limited,Financials,Capital Markets,Diversified Financials,137.6 M,2022,3.3x,3.3x,3.0x,3.0x,2.0x,2.0x,1.4x,1.4x,1.4x,1.4x,1.1x,1.1x,0.6x
3316,Binjiang Service Group Co. Ltd.,Industrials,Commercial Services & Supplies,Commercial & Professional Services,843.3 M,2022,1.4x,1.4x,1.5x,1.5x,1.9x,1.9x,1.8x,1.8x,1.9x,1.9x,1.9x,1.9x,2.1x
3315,Goldpac Group Limited,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,169.1 M,2022,1.9x,1.9x,1.8x,1.8x,2.6x,2.6x,2.7x,2.7x,3.0x,3.0x,3.2x,3.2x,2.8x
1290,China Huirong Financial Holdings Limited,Financials,Consumer Finance,Diversified Financials,145.8 M,2022,3.9x,3.9x,3.5x,3.5x,3.3x,3.3x,4.2x,4.2x,4.2x,4.2x,2.6x,2.6x,2.3x
799,IGG Inc,Communication Services,Entertainment,Media,415.5 M,2022,2.1x,2.1x,1.9x,1.9x,2.4x,2.4x,2.3x,2.3x,2.9x,2.9x,3.3x,3.3x,2.3x
798,China Electronics Optics Valley Union Holding Company Limited,Real Estate,Real Estate Management & Development,Real Estate,330.9 M,2022,-,NA,0.6x,0.6x,0.5x,0.5x,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.5x
1488,Best Food Holding Company Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,175 M,2022,0.4x,0.4x,0.5x,0.5x,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.6x,0.6x,0.9x
2399,China Anchu Energy Storage Group Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,146.5 M,2022,0.6x,0.6x,0.6x,0.6x,0.5x,0.5x,0.6x,0.6x,0.9x,0.9x,1.0x,1.0x,1.1x
695,Dongwu Cement International Limited,Materials,Construction Materials,Materials,289 M,2022,1.3x,1.3x,1.7x,1.7x,1.5x,1.5x,2.0x,2.0x,1.9x,1.9x,1.8x,1.8x,0.9x
2236,Wison Engineering Services Co. Ltd.,Energy,Energy Equipment & Services,Energy,212.8 M,2022,0.7x,0.7x,0.8x,0.8x,0.7x,0.7x,0.7x,0.7x,0.8x,0.8x,0.9x,0.9x,0.7x
8032,Viva China Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,1.665 B,2022,0.9x,NA,3.5x,NA,3.6x,NA,2.3x,NA,3.3x,NA,7.7x,NA,2.6x
1689,Huaxi Holdings Company Limited,Materials,Containers & Packaging,Materials,120.6 M,2022,2.2x,2.2x,2.1x,2.1x,2.3x,2.3x,2.6x,2.6x,2.5x,2.5x,3.1x,3.1x,2.7x
1316,Nexteer Automotive Group Limited,Consumer Discretionary,Auto Components,Automobiles & Components,1.576 B,2022,1.0x,1.0x,1.1x,1.1x,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,1.3x,1.3x,1.3x
2112,Grace Life-tech Holdings Limited,Industrials,Trading Companies & Distributors,Capital Goods,110.8 M,2022,0.8x,0.8x,0.8x,0.8x,0.9x,0.9x,1.0x,1.0x,1.0x,1.0x,1.2x,1.2x,1.3x
6138,"Harbin Bank Co., Ltd.",Financials,Banks,Banks,378.2 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,NA,0.1x,NA,0.2x,0.2x,0.1x,0.1x,0.2x
1370,Aowei Holding Limited,Materials,Metals & Mining,Materials,160.4 M,2022,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.1x,0.1x,0.6x,0.6x,0.6x,0.6x,0.8x
6828,Beijing Gas Blue Sky Holdings Limited,Utilities,Gas Utilities,Utilities,295.4 M,2022,0.1x,0.1x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.5x
288,WH Group Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",8.035 B,2022,0.5x,0.5x,0.6x,0.6x,0.7x,0.7x,0.8x,0.8x,0.7x,0.7x,0.5x,0.5x,0.5x
1910,Samsonite International S.A.,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,4.403 B,2022,0.8x,1.0x,1.4x,1.4x,1.7x,1.7x,1.6x,2.2x,2.2x,2.4x,2.2x,1.6x,0.8x
1856,Ernest Borel Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,106.2 M,2022,0.2x,0.2x,0.1x,0.1x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x
6805,Kimou Environmental Holding Limited,Industrials,Commercial Services & Supplies,Commercial & Professional Services,130.2 M,2022,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.3x,0.3x,0.2x,0.2x,0.2x,0.2x,0.2x
1817,Mulsanne Group Holding Limited,Consumer Discretionary,Specialty Retail,Retailing,303.8 M,2022,0.4x,0.4x,0.5x,0.5x,0.9x,0.9x,1.0x,1.0x,1.2x,1.2x,1.1x,1.1x,0.9x
1983,"Luzhou Bank Co., Ltd.",Financials,Banks,Banks,875.9 M,2022,0.3x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.2x,0.3x,0.1x,0.1x
1748,Xin Yuan Enterprises Group Limited,Industrials,Marine,Transportation,144.1 M,2022,0.6x,0.6x,0.1x,0.1x,0.3x,0.3x,0.3x,0.3x,0.4x,0.4x,0.1x,0.1x,0.9x
1741,Ri Ying Holdings Limited,Industrials,Construction & Engineering,Capital Goods,136.6 M,2022,0.8x,0.8x,1.1x,1.1x,1.3x,1.3x,2.6x,2.6x,4.6x,4.6x,4.6x,4.6x,2.8x
2798,Perennial Energy Holdings Limited,Materials,Metals & Mining,Materials,236.4 M,2022,0.8x,0.8x,0.8x,0.8x,0.8x,0.8x,0.6x,0.6x,0.8x,0.8x,0.6x,0.6x,1.2x
1860,Mobvista Inc.,Communication Services,Media,Media,804.4 M,2022,0.9x,0.9x,0.9x,0.9x,1.3x,1.3x,1.3x,1.3x,1.5x,1.5x,1.8x,1.8x,1.4x
3399,Guangdong Yueyun Transportation Company Limited,Industrials,Air Freight & Logistics,Transportation,106 M,2022,0.4x,0.4x,0.4x,0.4x,0.5x,0.5x,0.6x,0.6x,0.5x,0.5x,0.5x,0.5x,0.5x
720,Auto Italia Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,120.7 M,2022,0.2x,0.2x,2.5x,2.5x,1.2x,1.2x,0.5x,0.5x,1.0x,1.0x,1.5x,1.5x,1.3x
3869,Hospital Corporation of China Limited,Healthcare,Healthcare Providers & Services,Healthcare Equipment & Services,135.6 M,2022,1.3x,1.3x,2.0x,2.0x,2.8x,2.8x,2.6x,2.6x,1.4x,1.4x,2.5x,2.5x,2.6x
8279,AGTech Holdings Limited,Information Technology,IT Services,Software & Services,364.3 M,2022,1.1x,NA,1.0x,NA,11.4x,NA,14.0x,NA,12.2x,NA,10.3x,NA,10.0x
528,Kingdom Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,113.9 M,2022,0.5x,0.5x,0.6x,0.6x,0.4x,0.4x,0.4x,0.4x,0.3x,0.3x,0.4x,0.4x,0.5x
1224,C C Land Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,845.7 M,2022,4.0x,4.0x,1.6x,1.6x,0.6x,0.6x,0.5x,0.5x,3.9x,3.9x,5.8x,5.8x,3.1x
2377,"China Boqi Environmental (Holding) Co., Ltd.",Industrials,Commercial Services & Supplies,Commercial & Professional Services,120.4 M,2022,1.3x,1.3x,1.3x,1.3x,1.2x,1.2x,1.5x,1.5x,1.3x,1.3x,1.3x,1.3x,1.1x
982,Huafa Property Services Group Company Limited,Real Estate,Real Estate Management & Development,Real Estate,189.7 M,2022,0.8x,0.8x,0.8x,0.8x,0.7x,0.7x,0.6x,0.6x,0.6x,0.6x,1.2x,1.2x,1.2x
3939,Wanguo International Mining Group Limited,Materials,Metals & Mining,Materials,208.9 M,2022,0.2x,0.2x,0.2x,0.2x,0.4x,0.4x,0.4x,0.4x,0.1x,0.1x,0.1x,0.1x,0.0x
1708,Nanjing Sample Technology Company Limited,Information Technology,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,423.8 M,2022,1.1x,1.1x,0.9x,0.9x,0.8x,0.8x,1.0x,1.0x,1.0x,1.0x,1.1x,1.1x,1.3x
560,Chu Kong Shipping Enterprises (Group) Company Limited,Industrials,Marine,Transportation,138.5 M,2022,1.8x,1.8x,1.5x,1.5x,1.6x,1.6x,1.6x,1.6x,1.8x,1.8x,1.7x,1.7x,2.3x
97,Henderson Investment Limited,Consumer Discretionary,Multiline Retail,Retailing,108.7 M,2022,0.5x,0.5x,0.5x,0.5x,0.6x,0.6x,0.7x,0.7x,0.7x,0.7x,0.6x,0.6x,0.6x
127,Chinese Estates Holdings Limited,Real Estate,Real Estate Management & Development,Real Estate,602.7 M,2022,0.9x,0.9x,0.7x,0.7x,0.8x,0.8x,0.4x,0.4x,0.6x,0.6x,0.4x,0.4x,0.8x
1543,"Guangdong Join-Share Financing Guarantee Investment Co., Ltd.",Financials,Consumer Finance,Diversified Financials,355.9 M,2022,5.8x,5.8x,6.3x,6.3x,6.6x,6.6x,6.2x,6.2x,5.2x,5.2x,6.2x,6.2x,4.7x
1548,Genscript Biotech Corporation,Healthcare,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",4.982 B,2022,2.6x,2.6x,3.3x,3.3x,3.1x,3.1x,2.8x,2.8x,3.6x,3.6x,2.2x,2.2x,3.4x
78,Regal Hotels International Holdings Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,360.7 M,2022,1.4x,1.4x,1.6x,1.6x,0.5x,0.5x,0.4x,0.4x,2.0x,2.0x,1.9x,1.9x,2.5x
2008,Phoenix Media Investment (Holdings) Limited,Communication Services,Media,Media,194 M,2022,1.8x,1.8x,1.7x,1.7x,1.8x,1.8x,2.0x,2.0x,1.9x,1.9x,1.9x,1.9x,2.2x
184,Keck Seng Investments (Hong Kong) Limited,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,125.7 M,2022,0.8x,0.8x,1.7x,1.7x,1.7x,1.7x,1.8x,1.8x,1.2x,1.2x,0.8x,0.8x,0.9x
1045,APT Satellite Holdings Limited,Communication Services,Diversified Telecommunication Services,Telecommunication Services,294.5 M,2022,-,NA,6.6x,6.6x,6.6x,6.6x,6.2x,6.2x,5.1x,5.1x,4.4x,4.4x,4.4x
62,Transport International Holdings Limited,Industrials,Road & Rail,Transportation,640.1 M,2022,-,NA,0.9x,0.9x,0.7x,0.7x,0.6x,0.6x,0.8x,0.8x,1.1x,1.1x,1.4x
32,The Cross-Harbour (Holdings) Limited,Consumer Discretionary,Diversified Consumer Services,Consumer Services,509 M,2022,3.3x,3.3x,5.0x,5.0x,5.2x,5.2x,5.6x,5.6x,5.6x,5.6x,7.6x,7.6x,7.8x
1100,Mainland Headwear Holdings Limited,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,116.3 M,2022,0.9x,0.9x,0.9x,0.9x,0.8x,0.8x,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,0.9x
156,Lippo China Resources Limited,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,139.3 M,2022,1.3x,1.3x,2.0x,2.0x,2.2x,2.2x,1.5x,1.5x,1.1x,1.1x,2.8x,2.8x,1.6x
346,Yanchang Petroleum International Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,126.1 M,2022,0.4x,0.4x,0.4x,0.4x,0.4x,0.4x,0.6x,0.6x,0.2x,0.2x,0.5x,0.5x,0.5x
1088,China Shenhua Energy Company Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,71.854 B,2022,1.8x,2.0x,1.5x,2.2x,1.9x,2.0x,1.6x,2.0x,2.0x,2.0x,1.2x,0.9x,1.2x
1393,Hidili Industry International Development Limited,Energy,"Oil, Gas & Consumable Fuels",Energy,119.9 M,2022,0.1x,0.1x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x,0.0x
295,Kong Sun Holdings Limited,Utilities,Independent Power & Renewable Electricity Producers,Utilities,143 M,2022,1.0x,1.0x,0.9x,0.9x,1.0x,1.0x,0.4x,0.4x,1.4x,1.4x,0.7x,0.7x,1.0x
3838,China Starch Holdings Limited,Consumer Staples,Food Products,"Food, Beverage & Tobacco",163.4 M,2022,1.6x,1.6x,1.2x,1.2x,1.5x,1.5x,0.6x,0.6x,0.9x,0.9x,0.8x,0.8x,1.0x
588,Beijing North Star Company Limited,Real Estate,Real Estate Management & Development,Real Estate,862.6 M,2022,0.4x,0.3x,0.4x,0.4x,0.4x,0.3x,0.4x,0.3x,0.3x,0.3x,0.3x,0.3x,0.3x
887,Emperor Watch & Jewellery Limited,Consumer Discretionary,Specialty Retail,Retailing,150.3 M,2022,-,NA,1.5x,1.5x,1.1x,1.1x,0.8x,0.8x,0.5x,0.5x,0.3x,0.3x,0.4x
2722,"Chongqing Machinery & Electric Co., Ltd.",Industrials,Industrial Conglomerates,Capital Goods,291 M,2022,1.0x,1.0x,1.0x,1.0x,1.0x,1.0x,0.9x,0.9x,0.9x,0.9x,0.9x,0.9x,0.8x
373,Allied Group Limited,Financials,Consumer Finance,Diversified Financials,774.4 M,2022,1.2x,1.2x,1.2x,1.2x,1.9x,1.9x,2.0x,2.0x,2.0x,2.0x,2.7x,2.7x,2.4x
2343,Pacific Basin Shipping Limited,Industrials,Marine,Transportation,2.151 B,2022,1.3x,1.3x,1.6x,1.6x,1.6x,1.6x,0.9x,0.9x,1.0x,1.0x,1.0x,1.0x,0.8x
289,Wing On Company International Limited,Consumer Discretionary,Multiline Retail,Retailing,511.4 M,2022,10.1x,10.1x,9.4x,9.4x,10.0x,10.0x,9.2x,9.2x,7.3x,7.3x,6.6x,6.6x,6.9x
